Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Windows Server 2025,VMware,VM,iperf3,1,localhost_send_gbps,23.175,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,localhost_retransmits,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,localhost_recv_gbps,23.1746,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_tcp_send_gbps,0.9371,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_tcp_retransmits,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_tcp_recv_gbps,0.9341,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_udp_send_gbps,0.5534,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_udp_recv_gbps,0.5495,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_udp_jitter_ms,0.0109,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_udp_lost_pct,0.569,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,iperf3,1,remote_udp_udp_gbps,0.5534,Gbps,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_single_events_per_sec,1125.51,events/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_single_latency_avg,0.89,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_single_latency_p95,0.92,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_single_latency_max,11.28,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_multi_events_per_sec,4312.16,events/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_multi_latency_avg,0.93,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_multi_latency_p95,0.99,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_cpu,1,cpu_multi_latency_max,5.67,ms,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,7zip,1,total_rating,23877,MIPS,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fractal_mandelbrot,1,runtime,106.7426,seconds,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_read_iops,706.05,iops,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_read_bw,706.05,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_read_clat_mean_us,700.959,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_read_clat_p99_us,823.296,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_read_clat_p99_9_us,1011.712,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_write_iops,701.45,iops,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_write_bw,701.45,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_write_clat_mean_us,705.029,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_write_clat_p99_us,823.296,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,seq_rw_write_clat_p99_9_us,1138.688,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,rand_4k_read_iops,5139.23,iops,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,rand_4k_read_bw,20.07,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,rand_4k_read_clat_mean_us,95.152,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
