Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct
Windows Server 2025,VMware,VM,7zip,total_rating,MIPS,10,23488.7,23482.0,196.7734,0.84,23234.0,23877.0,,
Windows Server 2025,VMware,VM,cgroup,7zip_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,7zip_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fio_mixed_70_30_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fio_mixed_70_30_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fio_rand_4k_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fio_rand_4k_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fio_seq_rw_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fio_seq_rw_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fractal_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,fractal_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,ioping_latency_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,ioping_latency_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,ioping_seek_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,ioping_seek_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,iperf3_localhost_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,iperf3_localhost_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,iperf3_remote_tcp_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,iperf3_remote_tcp_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,iperf3_remote_udp_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,iperf3_remote_udp_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,mbw_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,mbw_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,openssl_aes_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,openssl_aes_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,openssl_rsa_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,openssl_rsa_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,stream_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,stream_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,stress_ng_cpu_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,stress_ng_cpu_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,stress_ng_switch_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,stress_ng_switch_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_cpu_multi_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_cpu_multi_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_cpu_single_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_cpu_single_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_mem_read_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_mem_read_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_mem_write_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cgroup,sysbench_mem_write_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,cpu_sample,7zip_cpu_busy_pct,percent,10,89.569,89.525,0.2366,0.26,89.24,89.97,,
Windows Server 2025,VMware,VM,cpu_sample,fio_mixed_70_30_cpu_busy_pct,percent,10,11.784,11.595,0.6941,5.89,11.19,13.55,,
Windows Server 2025,VMware,VM,cpu_sample,fio_rand_4k_cpu_busy_pct,percent,10,11.519,11.535,0.2894,2.51,11.09,11.95,,
Windows Server 2025,VMware,VM,cpu_sample,fio_seq_rw_cpu_busy_pct,percent,10,4.134,4.46,0.7297,17.65,3.13,5.06,,
Windows Server 2025,VMware,VM,cpu_sample,fractal_cpu_busy_pct,percent,10,25.148,25.15,0.0181,0.07,25.13,25.19,,
Windows Server 2025,VMware,VM,cpu_sample,ioping_latency_cpu_busy_pct,percent,10,1.631,1.28,1.1318,69.39,1.21,4.85,,
