Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_speed_dict22,22226,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_usage_dict22,361,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_rating_dict22,21622,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_speed_dict22,192837,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_usage_dict22,399,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_rating_dict22,16451,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_speed_dict23,19882,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_usage_dict23,348,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_rating_dict23,20258,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_speed_dict23,189900,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_usage_dict23,399,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_rating_dict23,16432,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_speed_dict24,19688,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_usage_dict24,359,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_rating_dict24,21170,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_speed_dict24,185493,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_usage_dict24,397,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_rating_dict24,16278,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_speed_dict25,20286,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_usage_dict25,376,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,compress_rating_dict25,23162,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_speed_dict25,179901,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_usage_dict25,393,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,decompress_rating_dict25,16011,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,total_usage,379,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,7zip,1,total_rating,18923,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,dd,1,dd_read_throughput,9300.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,dd,1,dd_write_throughput,432.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_iops,151.18,iops,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_bw,151.17,MB/s,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_clat_mean,3331.901,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_clat_stddev,2375.59,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_p50,2965.504,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_p95,5013.504,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_p99,8847.36,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_p99,53739.52,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal (4-core),None,fio,1,seq_rw_read_p99,61079.552,us,Wed Apr 15 08:33:28 2026,,,,ext4,,
