Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_speed_dict22,27157,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_usage_dict22,626,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_rating_dict22,26419,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_speed_dict22,269517,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_usage_dict22,798,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_rating_dict22,22982,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_speed_dict23,27351,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_usage_dict23,684,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_rating_dict23,27868,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_speed_dict23,265949,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_usage_dict23,797,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_rating_dict23,23005,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_speed_dict24,26598,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_usage_dict24,705,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_rating_dict24,28599,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_speed_dict24,262022,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_usage_dict24,797,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_rating_dict24,22990,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_speed_dict25,26846,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_usage_dict25,728,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,compress_rating_dict25,30652,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_speed_dict25,256965,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_usage_dict25,794,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,decompress_rating_dict25,22864,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,total_usage,741,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,7zip,1,total_rating,25672,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,dd,1,dd_read_throughput,9700.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,dd,1,dd_write_throughput,442.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_iops,151.29,iops,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_bw,151.29,MB/s,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_clat_mean,3336.696,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_clat_stddev,2664.008,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_p50,2932.736,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_p95,5013.504,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_p99,9502.72,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_p99,55836.672,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_read_p99,60555.264,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_iops,151.58,iops,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_bw,151.58,MB/s,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_clat_mean,3195.847,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_clat_stddev,1517.526,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_p50,3129.344,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_p95,4227.072,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_p99,6520.832,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_p99,15532.032,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_write_p99,50069.504,us,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_ctx_switches,18184,count,Tue Apr 14 12:41:01 2026,,,,ext4,,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_usr_cpu,1.518308,percent,Tue Apr 14 12:41:01 2026,,,,ext4,1.518308,
Ubuntu 24.04 LTS,Bare_Metal,None,fio,1,seq_rw_sys_cpu,6.448226,percent,Tue Apr 14 12:41:01 2026,,,,ext4,,
