Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_throughput,49.8889,Gbps,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_retransmits,0,count,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_mean_rtt,31,us,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_min_rtt,30,us,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_max_rtt,32,us,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_host_cpu,99.99,percent,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,99.99,
Ubuntu 24.04 LTS,Docker,Container,iperf3,1,localhost_remote_cpu,87.52,percent,"Fri, 17 Apr 2026 14:13:45 GMT",,,,ext4,,87.52
Ubuntu 24.04 LTS,Docker,Container,system_info,info,cpu_model,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,system_info,info,cpu_cores_per_socket,4,string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,system_info,info,cpu_threads_per_core,2,string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,system_info,info,cpu_max_mhz,4000.0000,string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,system_info,info,l3_cache,8 MiB (1 instance),string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,system_info,info,mem_total,31Gi,string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,system_info,info,kernel_version,Linux b16712874c22 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026 x86_64 GNU/Linux,string,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,compress_speed_dict22,17046,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,compress_usage_dict22,345,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,compress_rating_dict22,16582,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,decompress_speed_dict22,185962,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,decompress_usage_dict22,399,percent,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,decompress_rating_dict22,15866,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,Docker,Container,7zip,2,compress_speed_dict23,17545,KiB/s,,,,,ext4,,
