Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_speed_dict22,23200,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_usage_dict22,354,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_rating_dict22,22569,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_speed_dict22,298453,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_usage_dict22,398,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_rating_dict22,25462,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_speed_dict23,22045,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_usage_dict23,356,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_rating_dict23,22462,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_speed_dict23,291369,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_usage_dict23,396,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_rating_dict23,25212,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_speed_dict24,21769,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_usage_dict24,365,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_rating_dict24,23406,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_speed_dict24,284945,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_usage_dict24,395,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_rating_dict24,25006,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_speed_dict25,20913,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_usage_dict25,371,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,compress_rating_dict25,23878,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_speed_dict25,276808,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_usage_dict25,395,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,decompress_rating_dict25,24636,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,total_usage,379,percent,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,7zip,1,total_rating,24079,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,dd,1,dd_read_throughput,9700.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,dd,1,dd_write_throughput,437.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_iops,145.46,iops,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_bw,145.46,MB/s,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_clat_mean,3410.021,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_clat_stddev,2218.835,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_p50,3162.112,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_p95,5144.576,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_p99,6848.512,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_p99,50593.792,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_read_p99,61079.552,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_iops,145.36,iops,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_bw,145.36,MB/s,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_clat_mean,3371.957,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_clat_stddev,2271.929,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_p50,3227.648,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_p95,4489.216,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_p99,11599.872,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_p99,44826.624,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_write_p99,60030.976,us,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_ctx_switches,17555,count,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_usr_cpu,1.871635,percent,Sun Apr 19 20:06:27 2026,,,,ext4,1.871635,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_sys_cpu,6.743221,percent,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,seq_rw_disk_util,93.21,percent,Sun Apr 19 20:06:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_iops,4670.89,iops,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_bw,18.25,MB/s,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_clat_mean,179.372,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_clat_stddev,221.654,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_p50,158.72,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_p95,236.544,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_p99,1564.672,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_p99,2277.376,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_read_p99,3981.312,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_iops,4674.42,iops,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_bw,18.26,MB/s,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_clat_mean,33.078,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_clat_stddev,92.876,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_p50,30.336,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_p95,47.36,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_p99,81.408,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_p99,146.432,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_write_p99,234.496,us,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_ctx_switches,560939,count,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_usr_cpu,1.728333,percent,Sun Apr 19 20:08:27 2026,,,,ext4,1.728333,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_sys_cpu,7.646667,percent,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,rand_4k_disk_util,92.5,percent,Sun Apr 19 20:08:27 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_iops,5707.32,iops,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_bw,22.29,MB/s,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_clat_mean,159.642,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_clat_stddev,148.758,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_p50,158.72,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_p95,191.488,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_p99,610.304,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_p99,2179.072,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_read_p99,2506.752,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_iops,2453.38,iops,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_bw,9.58,MB/s,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_clat_mean,33.294,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_clat_stddev,130.357,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_p50,31.104,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_p95,40.704,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_p99,75.264,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_p99,107.008,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_write_p99,207.872,us,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_ctx_switches,489952,count,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_usr_cpu,1.488333,percent,Sun Apr 19 20:10:28 2026,,,,ext4,1.488333,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_sys_cpu,6.765,percent,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fio,1,mixed_70_30_disk_util,94.69,percent,Sun Apr 19 20:10:28 2026,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,fractal_mandelbrot,1,runtime,119.1081,seconds,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_throughput,49.3029,Gbps,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_retransmits,0,count,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_mean_rtt,34,us,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_min_rtt,33,us,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_max_rtt,38,us,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_host_cpu,100.08,percent,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,100.08,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,localhost_remote_cpu,67.07,percent,"Sun, 19 Apr 2026 19:56:38 GMT",,,,ext4,,67.07
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_throughput,0.937,Gbps,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_retransmits,0,count,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_mean_rtt,2272,us,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_min_rtt,2175,us,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_max_rtt,2345,us,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_host_cpu,6.65,percent,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,6.65,
Ubuntu 24.04 LTS,LXC,Container,iperf3,1,remote_remote_cpu,17.57,percent,"Sun, 19 Apr 2026 19:56:48 GMT",,,,ext4,,17.57
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample0,6256.262,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample1,6283.905,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample2,6282.209,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample3,6290.39,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample4,6277.741,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample5,6289.772,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample6,6280.051,MiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,LXC,Container,mbw,1,mbw_memcpy_bandwidth_sample7,6283.751,MiB/s,,,,,ext4,,
