Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_speed_dict22,21764,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_usage_dict22,327,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_rating_dict22,21172,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_speed_dict22,295373,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_usage_dict22,396,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_rating_dict22,25199,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_speed_dict23,22002,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_usage_dict23,341,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_rating_dict23,22418,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_speed_dict23,293807,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_usage_dict23,400,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_rating_dict23,25423,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_speed_dict24,21953,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_usage_dict24,346,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_rating_dict24,23605,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_speed_dict24,285070,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_usage_dict24,396,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_rating_dict24,25017,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_speed_dict25,20648,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_usage_dict25,338,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,compress_rating_dict25,23576,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_speed_dict25,279810,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_usage_dict25,398,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,decompress_rating_dict25,24903,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,total_usage,368,percent,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,7zip,1,total_rating,23914,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,dd,1,dd_read_throughput,6700.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,dd,1,dd_write_throughput,449.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_iops,133.93,iops,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_bw,133.93,MB/s,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_clat_mean,3609.933,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_clat_stddev,2330.597,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_p50,3129.344,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_p95,5079.04,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_p99,6979.584,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_p99,51118.08,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_read_p99,59506.688,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_iops,134.9,iops,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_bw,134.9,MB/s,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_clat_mean,3739.717,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_clat_stddev,2005.846,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_p50,3620.864,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_p95,4554.752,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_p99,7241.728,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_p99,43778.048,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_write_p99,78118.912,us,Tue Apr 14 21:28:22 2026,,,,ext4,,
Ubuntu 24.04 LTS,QEMU/KVM,VM,fio,1,seq_rw_ctx_switches,16157,count,Tue Apr 14 21:28:22 2026,,,,ext4,,
