Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_speed_dict22,19554,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_usage_dict22,333,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_rating_dict22,19023,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_speed_dict22,291272,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_usage_dict22,395,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_rating_dict22,24849,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_speed_dict23,19504,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_usage_dict23,371,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_rating_dict23,19873,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_speed_dict23,286556,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_usage_dict23,397,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_rating_dict23,24795,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_speed_dict24,18801,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_usage_dict24,368,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_rating_dict24,20216,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_speed_dict24,279290,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_usage_dict24,396,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_rating_dict24,24510,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_speed_dict25,17703,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_usage_dict25,368,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,compress_rating_dict25,20214,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_speed_dict25,270917,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_usage_dict25,396,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,decompress_rating_dict25,24111,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,total_usage,378,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,7zip,1,total_rating,22199,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,dd,1,dd_read_throughput,8100.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,dd,1,dd_write_throughput,685.0,MB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_iops,303.64,iops,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_bw,303.64,MB/s,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_clat_mean,1423.461,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_clat_stddev,581.651,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_p50,1417.216,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_p95,1613.824,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_p99,1761.28,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_p99,5931.008,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_read_p99,24248.32,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_iops,304.01,iops,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_bw,304.01,MB/s,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_clat_mean,1797.449,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_clat_stddev,1133.569,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_p50,1761.28,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_p95,2072.576,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_p99,2736.128,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_p99,8028.16,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_write_p99,84410.368,us,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_ctx_switches,36489,count,Thu Apr 16 18:34:56 2026,,,,ext4,,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_usr_cpu,3.079897,percent,Thu Apr 16 18:34:56 2026,,,,ext4,3.079897,
Ubuntu 24.04 LTS,VMware,VM,fio,1,seq_rw_sys_cpu,39.238692,percent,Thu Apr 16 18:34:56 2026,,,,ext4,,
