Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_speed_dict22,20478,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_usage_dict22,313,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_rating_dict22,19921,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_speed_dict22,295139,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_usage_dict22,398,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_rating_dict22,25179,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_speed_dict23,20819,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_usage_dict23,328,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_rating_dict23,21212,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_speed_dict23,289210,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_usage_dict23,397,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_rating_dict23,25025,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_speed_dict24,20841,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_usage_dict24,347,percent,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,compress_rating_dict24,22409,MIPS,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_speed_dict24,284198,KiB/s,,,,,ext4,,
Ubuntu 24.04 LTS,VirtualBox,VM,7zip,1,decompress_usage_dict24,399,percent,,,,,ext4,,
