Run_ID,sysbench_cpu_single_eps,sysbench_cpu_multi_eps,stress_ng_cpu_bogo_ops_s,fractal_time_s,kernel_compile_time_s,sysbench_mem_read_mib_s,sysbench_mem_write_mib_s,mbw_memcpy_avg_mib_s,mbw_dumb_avg_mib_s,dd_read_speed,dd_read_unit,dd_write_speed,dd_write_unit,fio_rand_4k_read_iops,fio_rand_4k_read_bw_mib,fio_rand_4k_read_lat_ms,fio_rand_4k_write_iops,fio_rand_4k_write_bw_mib,fio_rand_4k_write_lat_ms,fio_seq_rw_read_iops,fio_seq_rw_read_bw_mib,fio_seq_rw_read_lat_ms,fio_seq_rw_write_iops,fio_seq_rw_write_bw_mib,fio_seq_rw_write_lat_ms,fio_mixed_70_30_read_iops,fio_mixed_70_30_read_bw_mib,fio_mixed_70_30_read_lat_ms,fio_mixed_70_30_write_iops,fio_mixed_70_30_write_bw_mib,fio_mixed_70_30_write_lat_ms,iperf_localhost_gbps,iperf_remote_gbps
benchmark_raw_20260419_195635,1149.66,4368.63,6256.19,119.1081,119.96000000000001,31944.55,12276.79,6282.129999999999,10039.169363636363,9.7,GB/s,437.0,MB/s,4670.888819,18.24565887451172,0.179371910247,4674.422093,18.25946044921875,0.033077781959,145.461818,145.46181774139404,3.4100210763059997,145.361821,145.36182117462158,3.371957405641,5707.321545,22.294224739074707,0.159642261175,2453.375777,9.58349895477295,0.033294217805,49.302871028490415,0.9369574921265515
benchmark_raw_20260419_201424,1149.53,4374.16,6277.51,105.0362,387.05,32375.15,12935.84,6490.464545454545,10302.329818181817,9.6,GB/s,448.0,MB/s,4611.589807,18.01402187347412,0.182415042013,4617.123048,18.03563690185547,0.032820706579,146.248813,146.24881267547607,3.412029140579,146.098865,146.0988645553589,3.3392111073099997,5617.889702,21.944881439208984,0.16285908405400001,2414.109765,9.430115699768066,0.032752446417,49.12723036435627,0.935704835078805
benchmark_raw_20260419_212401,1150.81,4374.63,6288.15,115.2006,387.28,32353.78,12308.01,6491.109181818182,10273.492454545454,9.8,GB/s,439.0,MB/s,4635.856069,18.10881233215332,0.180641182603,4640.205997,18.12580394744873,0.03322819691,146.925987,146.92598628997803,3.41534422686,146.975985,146.97598361968994,3.2942417464569997,5720.021333,22.343832969665527,0.159251865315,2459.092348,9.605829238891602,0.033443819313,49.34916883068837,0.9361081000987127
benchmark_raw_20260419_214531,1150.53,4373.85,6281.06,109.4956,387.2,32348.27,12827.5,6519.60109090909,10413.920636363635,9.0,GB/s,438.0,MB/s,4718.488025,18.43159294128418,0.178793661695,4722.137964,18.44585132598877,0.031655510244,140.978634,140.97863388061523,3.4980923748670003,141.311956,141.31195545196533,3.50614998797,5626.889552,21.980036735534668,0.162208480897,2418.326361,9.446586608886719,0.033272791981,48.83458717523658,0.935979023449849
benchmark_raw_20260419_220657,1150.52,4374.56,6298.91,111.5306,387.95,32345.69,12932.91,6494.663363636364,10495.159545454546,9.8,GB/s,441.0,MB/s,4621.58964,18.05308437347412,0.18161997231899998,4626.706222,18.073070526123047,0.033026267075000004,146.27602,146.2760190963745,3.4722787640419996,146.142693,146.14269256591797,3.274493199339,5722.787954,22.354640007019043,0.160300656927,2460.525658,9.611428260803223,0.031326420804,48.01794126028401,0.9365226202688433
benchmark_raw_20260419_222823,1150.48,4373.98,6281.55,104.7985,387.5,32355.3,12930.4,6498.166545454545,10209.806636363635,9.8,GB/s,437.0,MB/s,4636.289395,18.11050510406494,0.181190083334,4640.639323,18.12749671936035,0.032818380275,150.280829,150.28082847595215,3.3541156809359998,150.147498,150.14749717712402,3.2204306807639997,5692.055132,22.23458957672119,0.160515908394,2446.975884,9.558499336242676,0.032659641836,49.32126762178682,0.9357305635656094
benchmark_raw_20260419_224945,1150.3,4374.2,6258.37,108.0381,387.53,32166.76,12286.38,6473.130545454545,10270.458363636364,9.6,GB/s,447.0,MB/s,4685.155247,18.301386833190918,0.17932849777700002,4688.938518,18.316165924072266,0.032444453745,144.497592,144.49759101867676,3.4044968298729996,144.347594,144.34759330749512,3.4362418039489997,5658.655689,22.10412311553955,0.161315652182,2432.309462,9.501208305358887,0.032949596447000004,48.94968988744632,0.936250757021818
benchmark_raw_20260419_231109,1150.6,4374.67,6285.21,110.8481,387.74,32360.41,12300.22,6514.678818181818,10165.409545454546,9.1,GB/s,443.0,MB/s,4649.389177,18.16167640686035,0.180465417378,4653.922435,18.179384231567383,0.032943144428,143.626152,143.6261510848999,3.447426752727,143.642818,143.64281749725342,3.423182959276,5666.738888,22.135698318481445,0.161237727717,2435.426076,9.513382911682129,0.032840784429,48.63957944351817,0.936567534407143
benchmark_raw_20260419_233236,1150.71,4374.37,6251.71,129.9333,387.69,32359.81,12822.35,6525.020090909092,10390.20809090909,9.5,GB/s,439.0,MB/s,4572.907118,17.86291790008545,0.184405249881,4579.907002,17.89026165008545,0.032655571487000004,148.223452,148.22345161437988,3.382801843602,148.373442,148.373441696167,3.267894139616,5680.838653,22.190775871276855,0.16111288163600002,2441.559307,9.53734016418457,0.032224943896,48.4890799467828,0.9360417255420165
benchmark_raw_20260419_235424,1150.44,4374.1,6283.46,115.4956,387.19,32356.78,12309.17,6463.045727272727,10306.98918181818,9.7,GB/s,440.0,MB/s,4555.740738,17.795862197875977,0.183823363213,4561.390643,17.81793212890625,0.033584084604,45.015166,45.01516532897949,10.653111591633,47.065098,47.06509780883789,10.966850753541,5668.338861,22.141947746276855,0.16128757368,2436.042733,9.515791893005371,0.032329267048,49.259344938476374,0.935782168348399
