Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Windows 11,VMware,VM,iperf3,1,localhost_throughput,21.5182,Gbps,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,,
Windows 11,VMware,VM,iperf3,1,localhost_retransmits,0,count,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,,
Windows 11,VMware,VM,iperf3,1,localhost_mean_rtt,50,us,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,,
Windows 11,VMware,VM,iperf3,1,localhost_min_rtt,46,us,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,,
Windows 11,VMware,VM,iperf3,1,localhost_max_rtt,61,us,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,,
Windows 11,VMware,VM,iperf3,1,localhost_host_cpu,98.85,percent,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,98.85,
Windows 11,VMware,VM,iperf3,1,localhost_remote_cpu,58.44,percent,"Fri, 17 Jul 2026 14:29:10 GMT",,,,ext4,,58.44
Windows 11,VMware,VM,iperf3,1,remote_retransmits,0,count,,,,,ext4,,
Windows 11,VMware,VM,system_info,info,cpu_model,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,string,,,,,ext4,,
Windows 11,VMware,VM,system_info,info,cpu_cores_per_socket,4,string,,,,,ext4,,
Windows 11,VMware,VM,system_info,info,cpu_threads_per_core,1,string,,,,,ext4,,
Windows 11,VMware,VM,system_info,info,l3_cache,8 MiB (1 instance),string,,,,,ext4,,
Windows 11,VMware,VM,system_info,info,mem_total,15Gi,string,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_speed_dict22,22218,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_usage_dict22,343,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_rating_dict22,21614,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_speed_dict22,292779,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_usage_dict22,396,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_rating_dict22,24978,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_speed_dict23,21114,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_usage_dict23,349,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_rating_dict23,21513,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_speed_dict23,287551,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_usage_dict23,394,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_rating_dict23,24881,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_speed_dict24,20784,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_usage_dict24,361,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_rating_dict24,22348,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_speed_dict24,280926,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_usage_dict24,396,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_rating_dict24,24653,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_speed_dict25,20347,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_usage_dict25,366,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,compress_rating_dict25,23232,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_speed_dict25,274165,KiB/s,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_usage_dict25,396,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,decompress_rating_dict25,24401,MIPS,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,total_usage,375,percent,,,,,ext4,,
Windows 11,VMware,VM,7zip,2,total_rating,23452,MIPS,,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_iops,544.21,iops,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_bw,544.21,MB/s,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_clat_mean,900.717,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_clat_stddev,389.16,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_p50,888.832,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_p95,995.328,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_p99,1073.152,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_p99,3260.416,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_read_p99,17694.72,us,Fri Jul 17 10:40:17 2026,,,,ext4,,
Windows 11,VMware,VM,fio,2,seq_rw_write_iops,545.26,iops,Fri Jul 17 10:40:17 2026,,,,ext4,,
