Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Windows 11,WSL2 (4-core),VM,7zip,1,compress_speed_dict22,15166,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_usage_dict22,337,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_rating_dict22,14754,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_speed_dict22,180056,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_usage_dict22,399,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_rating_dict22,15361,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_speed_dict23,14354,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_usage_dict23,360,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_rating_dict23,14626,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_speed_dict23,178533,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_usage_dict23,398,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_rating_dict23,15448,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_speed_dict24,13599,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_usage_dict24,373,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_rating_dict24,14622,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_speed_dict24,175265,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_usage_dict24,397,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_rating_dict24,15381,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_speed_dict25,13041,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_usage_dict25,373,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,compress_rating_dict25,14891,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_speed_dict25,172012,KiB/s,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_usage_dict25,397,percent,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,decompress_rating_dict25,15309,MIPS,,,,,ext4,,
Windows 11,WSL2 (4-core),VM,7zip,1,total_usage,379,percent,,,,,ext4,,
