Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_speed_dict22,16029,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_usage_dict22,344,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_rating_dict22,15593,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_speed_dict22,178517,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_usage_dict22,398,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_rating_dict22,15230,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_speed_dict23,12991,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_usage_dict23,358,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_rating_dict23,13236,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_speed_dict23,176704,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_usage_dict23,398,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_rating_dict23,15290,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_speed_dict24,13857,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_usage_dict24,372,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_rating_dict24,14900,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_speed_dict24,173813,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_usage_dict24,397,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_rating_dict24,15253,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_speed_dict25,11818,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_usage_dict25,372,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,compress_rating_dict25,13494,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_speed_dict25,170671,KiB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_usage_dict25,397,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,decompress_rating_dict25,15190,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,total_usage,379,percent,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,7zip,1,total_rating,14773,MIPS,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,dd,1,dd_read_throughput,4300.0,MB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,dd,1,dd_write_throughput,1900.0,MB/s,,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_iops,148.78,iops,Mon May 11 12:55:15 2026,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_bw,148.78,MB/s,Mon May 11 12:55:15 2026,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_clat_mean,3325.549,us,Mon May 11 12:55:15 2026,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_clat_stddev,2006.745,us,Mon May 11 12:55:15 2026,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_p50,2899.968,us,Mon May 11 12:55:15 2026,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_p95,5079.04,us,Mon May 11 12:55:15 2026,,,,ext4,,
Windows 11,Docker (WSL2 backend),Container,fio,1,seq_rw_read_p99,7766.016,us,Mon May 11 12:55:15 2026,,,,ext4,,
