Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Windows 11,VirtualBox,VM,7zip,1,compress_speed_dict22,21991,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_usage_dict22,317,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_rating_dict22,21394,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_speed_dict22,292660,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_usage_dict22,396,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_rating_dict22,24968,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_speed_dict23,21669,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_usage_dict23,331,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_rating_dict23,22079,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_speed_dict23,288388,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_usage_dict23,397,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_rating_dict23,24954,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_speed_dict24,21412,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_usage_dict24,333,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_rating_dict24,23023,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_speed_dict24,281511,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_usage_dict24,396,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_rating_dict24,24705,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_speed_dict25,21605,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_usage_dict25,340,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,compress_rating_dict25,24668,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_speed_dict25,275853,KiB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_usage_dict25,396,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,decompress_rating_dict25,24551,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,total_usage,363,percent,,,,,ext4,,
Windows 11,VirtualBox,VM,7zip,1,total_rating,23793,MIPS,,,,,ext4,,
Windows 11,VirtualBox,VM,dd,1,dd_read_throughput,9900.0,MB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,dd,1,dd_write_throughput,742.0,MB/s,,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_iops,125.7,iops,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_bw,125.7,MB/s,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_clat_mean,6075.013,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_clat_stddev,5357.51,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_p50,3817.472,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_p95,14614.528,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_p99,18481.152,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_p99,69730.304,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_read_p99,90701.824,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_iops,126.53,iops,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_bw,126.53,MB/s,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_clat_mean,1851.808,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_clat_stddev,5138.932,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_p50,292.864,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_p95,14352.384,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_p99,21102.592,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_p99,44826.624,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_write_p99,80216.064,us,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_ctx_switches,15138,count,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_usr_cpu,0.42,percent,Thu May  7 23:06:24 2026,,,,ext4,0.42,
Windows 11,VirtualBox,VM,fio,1,seq_rw_sys_cpu,1.115,percent,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,seq_rw_disk_util,98.17,percent,Thu May  7 23:06:24 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_iops,2552.24,iops,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_bw,9.97,MB/s,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_clat_mean,323.394,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_clat_stddev,1408.021,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_p50,264.192,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_p95,317.44,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_p99,626.688,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_p99,27131.904,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_read_p99,38010.88,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_iops,2554.57,iops,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_bw,9.98,MB/s,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_clat_mean,65.594,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_clat_stddev,94.105,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_p50,61.184,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_p95,88.576,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_p99,128.512,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_p99,403.456,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_write_p99,897.024,us,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_ctx_switches,306419,count,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_usr_cpu,1.298333,percent,Thu May  7 23:08:25 2026,,,,ext4,1.298333,
Windows 11,VirtualBox,VM,fio,1,rand_4k_sys_cpu,10.95,percent,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,rand_4k_disk_util,95.21,percent,Thu May  7 23:08:25 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_iops,3194.96,iops,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_bw,12.48,MB/s,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_clat_mean,281.804,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_clat_stddev,870.507,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_p50,261.12,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_p95,305.152,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_p99,452.608,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_p99,3260.416,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_read_p99,35389.44,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_write_iops,1370.16,iops,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_write_bw,5.35,MB/s,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_write_clat_mean,68.487,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_write_clat_stddev,111.667,us,Thu May  7 23:10:27 2026,,,,ext4,,
Windows 11,VirtualBox,VM,fio,1,mixed_70_30_write_p50,66.048,us,Thu May  7 23:10:27 2026,,,,ext4,,
